latitude,longitude,topo
degrees_north,degrees_east,meters
44.375,-71.73333333,447
44.375,-71.725,387
44.375,-71.71666667,441
44.375,-71.70833333,462
44.375,-71.7,507
44.375,-71.69166667,554
44.375,-71.68333333,497
44.375,-71.675,406
44.375,-71.66666667,343
44.375,-71.65833333,321
44.375,-71.65,318
44.375,-71.64166667,328
44.375,-71.63333333,311
44.375,-71.625,294
44.375,-71.61666667,308
44.375,-71.60833333,314
44.375,-71.6,321
44.375,-71.59166667,327
44.375,-71.58333333,319
44.375,-71.575,317
44.375,-71.56666667,322
44.375,-71.55833333,319
44.375,-71.55,322
44.375,-71.54166667,331
44.375,-71.53333333,340
44.375,-71.525,344
44.375,-71.51666667,338
44.375,-71.50833333,343
44.375,-71.5,350
44.375,-71.49166667,341
44.375,-71.48333333,341
44.375,-71.475,340
44.375,-71.46666667,347
44.375,-71.45833333,353
44.375,-71.45,364
44.375,-71.44166667,373
44.375,-71.43333333,376
44.375,-71.425,398
44.375,-71.41666667,435
44.375,-71.40833333,497
44.375,-71.4,573
44.375,-71.39166667,607
44.375,-71.38333333,634
44.375,-71.375,576
44.375,-71.36666667,565
44.375,-71.35833333,639
44.375,-71.35,608
44.375,-71.34166667,554
44.375,-71.33333333,521
44.375,-71.325,482
44.375,-71.31666667,439
44.375,-71.30833333,421
44.375,-71.3,417
44.375,-71.29166667,413
44.375,-71.28333333,401
44.375,-71.275,392
44.375,-71.26666667,384
44.375,-71.25833333,379
44.375,-71.25,385
44.375,-71.24166667,392
44.375,-71.23333333,424
44.375,-71.225,569
44.375,-71.21666667,637
44.375,-71.20833333,537
44.375,-71.2,443
44.375,-71.19166667,374
44.375,-71.18333333,309
44.375,-71.175,318
